"Axis"	"Variance"
"Comp.1"	0.4995475645
"Comp.2"	0.2741265535
"Comp.3"	0.0804139459
"Comp.4"	0.0636238183
"Comp.5"	0.0414178933
"Comp.6"	0.024130998
"Comp.7"	0.0066379593
"Comp.8"	0.0033404443
"Comp.9"	0.0022616132
"Comp.10"	0.0016696233
"Comp.11"	0.0010364565
"Comp.12"	0.000596211
"Comp.13"	0.0004803167
"Comp.14"	0.0003108113
"Comp.15"	0.0002352774
"Comp.16"	0.0001372306
"Comp.17"	2.57013e-05
"Comp.18"	7.5817e-06
"Comp.19"	0
