"data","partition","type","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","proc_auc_ratio.avg","proc_auc_ratio.sd","proc_pval.avg","proc_pval.sd","AICc","delta.AICc","w.AIC","ncoef"
"PC","cb2","aicc","LQ","1","fc.LQ_rm.1",0.802812352941176,0.979,0.0376345872134646,0.0397044620523492,0.773919925458141,0.0409113496290327,0.75475,0.160970753037107,0.137036797815014,0.0886378696458194,0.00806451612903226,0.0161290322580645,2.00757592991667,0.0362331485576991,0,0,1673.11345273287,0,0.997706546275599,11
"PC","cb2","seq","Q","1","fc.Q_rm.1",0.712425294117647,0.88,0.0569644122304914,0.0468813232455254,0.701932601048778,0.0661652184848427,0.70575,0.114578575658803,0.074830528284245,0.0540270700218679,0.0108695652173913,0.0217391304347826,1.9919348073638,0.00623973635827079,0,0,1838.76716202412,165.653709291248,1.0659992417551e-36,6
"PC","block","aicc","LQ","1","fc.LQ_rm.1",0.802935857887459,0.976,0.148591274036554,0.0968653261128902,0.698097757396985,0.118646679581662,0.32275,0.477511169153839,0.356601731601732,0.324826203519023,0.0595238095238095,0.0714285714285714,1.95037667078554,0.0624258307368443,0,0,1670.74330623369,0,0.996471409182627,11
"PC","block","seq","Q","4","fc.Q_rm.4",0.711341583046721,0.854,0.167593750714404,0.172481251151641,0.666644924947583,0.199386151026897,0.471,0.61732271409153,0.177489177489177,0.265237639515851,0.0238095238095238,0.0476190476190476,1.98250437544477,0.021858560306178,0,0,1838.50303922554,167.759732991846,3.71451127081066e-37,6
"subset","cb2","aicc","LQH","1","fc.LQH_rm.1",0.804751162790698,0.915,0.0459883660074879,0.0218945744771524,0.767546905472205,0.0289625662671985,0.6425,0.294804454964077,0.168373599439776,0.0190208972971852,0.0147058823529412,0.0294117647058824,2.00519023553803,0.055047601284966,0,0,1675.31961210778,0,0.981348381990265,13
"subset","cb2","seq","LQ","1","fc.LQ_rm.1",0.777951162790698,0.819,0.0433133591253472,0.029131337273181,0.752635360735326,0.0424018568580834,0.6155,0.271905007922497,0.102725256769374,0.0309133308422436,0.0147058823529412,0.0294117647058824,2.04322251406474,0.0435453011659165,0,0,1684.00512261885,8.68551051107079,0.0127581753550221,7
"subset","block","aicc","LQH","1","fc.LQH_rm.1",0.804751162790698,0.915,0.11178527471061,0.0860837844933592,0.745456686682779,0.10120786088016,0.49075,0.157793905670234,0.261363636363636,0.307884106770249,0.0238095238095238,0.0274928699614107,2.03642707592053,0.0509423708937356,0,0,1675.31961210778,0,0.981348381990265,13
"subset","block","seq","LQH","1","fc.LQH_rm.1",0.804751162790698,0.915,0.11178527471061,0.0860837844933592,0.745456686682779,0.10120786088016,0.49075,0.157793905670234,0.261363636363636,0.307884106770249,0.0238095238095238,0.0274928699614107,2.03642707592053,0.0509423708937356,0,0,1675.31961210778,0,0.981348381990265,13
