"data","type","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","proc_auc_ratio.avg","proc_auc_ratio.sd","proc_pval.avg","proc_pval.sd","AICc","delta.AICc","w.AIC","ncoef"
"PC","aicc","L","1","fc.L_rm.1",0.714496511627907,0.824,0.0372460520529222,0.0326043583784726,0.701534519615915,0.0434081160120934,0.328,0.277005415109525,0.109868113912232,0.0170727699291251,0.0142857142857143,0.0285714285714286,2.01302301021829,0.0112722351562113,0,0,1829.86933861337,0,0.815922164644326,3
"PC","seq","L","3","fc.L_rm.3",0.710108139534884,0.651,0.0534550526793368,0.0160076151234199,0.680253147631278,0.0562689755365657,0.49025,0.330783287566548,0.101385971055089,0.0260609762213893,0.0142857142857143,0.0285714285714286,1.99976532080233,0.00119093738041363,0,0,1835.98108807508,8.32058057828067,0.0105236127764946,4
"subset","aicc","Q","1","fc.Q_rm.1",0.716147093023256,0.912,0.0436405857858796,0.0272830247524248,0.696414340158821,0.0422414931170071,0.5075,0.380433524635601,0.147864145658263,0.0815039714064317,0.00714285714285714,0.0142857142857143,1.99731892157734,0.0103071490245465,0,0,1742.66379296393,0,0.299511516460584,5
"subset","seq","Q","5","fc.Q_rm.5",0.721434302325581,0.911,0.0316627248161201,0.0179288649466213,0.706411049637889,0.0241171391528274,0.6635,0.250993359805925,0.109051120448179,0.0470508118305147,0.0138888888888889,0.0277777777777778,2.00069710451299,0.00172728435163477,0,0,1743.80174684081,58.4250226255951,2.03530695656779e-13,4
