"Region","Total","Continent","Corr_Model","n"
"Eurasia",125,"Asia",0,25
"Eurasia",125,"Asia",1,32
"Eurasia",125,"Europe",0,10
"Eurasia",125,"Europe",1,58
"New Zealand",8,"New Zealand",0,8
"North America",161,"North America",0,37
"North America",161,"North America",1,124
