"Axis"	"Variance"
"Comp.1"	0.4837990094
"Comp.2"	0.288914403
"Comp.3"	0.0893657311
"Comp.4"	0.0588077713
"Comp.5"	0.0445913814
"Comp.6"	0.0186494625
"Comp.7"	0.0069342349
"Comp.8"	0.0032538153
"Comp.9"	0.0027165492
"Comp.10"	0.0008458127
"Comp.11"	0.0006413484
"Comp.12"	0.0005372989
"Comp.13"	0.0003514303
"Comp.14"	0.0002595565
"Comp.15"	0.0001655514
"Comp.16"	0.0001310676
"Comp.17"	2.9061e-05
"Comp.18"	6.5151e-06
"Comp.19"	0
