"Variables"	"Comp.1"	"Comp.2"	"Comp.3"	"Comp.4"	"Comp.5"	"Comp.6"	"Comp.7"	"Comp.8"	"Comp.9"	"Comp.10"	"Comp.11"	"Comp.12"	"Comp.13"	"Comp.14"	"Comp.15"	"Comp.16"	"Comp.17"	"Comp.18"	"Comp.19"
"bio1"	"0.292464681030739"	"0.160012668652638"	"0.0915086682276639"	"0.192897412732427"	"0.0358018412009886"	"0.162040738748379"	"0.194704422948456"	"0.106057929171783"	"0.0426985775141586"	"0.0288883643035892"	"0.0914594221769184"	"0.168470680747849"	"0.0437399732468816"	"0.0748598488488242"	"0.358579418151826"	"0.155982636607223"	"0.751912588163096"	"0.0370895094906846"	"9.02601022047295e-09"
"bio10"	"0.303347233367321"	"0.023723159519122"	"0.0202641911784061"	"0.319144065561558"	"-0.038838263828802"	"0.281528645301489"	"0.200086769430979"	"0.124668074502096"	"0.036330415145579"	"0.0421817959591005"	"0.170311111512248"	"0.0764644967590478"	"0.0281372572055186"	"0.0805736765457834"	"0.241867074865068"	"0.131308860469345"	"-0.502567642938468"	"-0.543377225056475"	"-2.21696675781982e-09"
"bio11"	"0.257011664215891"	"0.254466567193773"	"0.121356190162345"	"0.0395908129222482"	"0.082883693082515"	"0.0617279704292418"	"0.124796272900209"	"0.0482456830452086"	"0.0779612237638252"	"-0.087444773243227"	"-0.0289335264010557"	"0.00686941447223061"	"0.207244344680842"	"0.238500231406861"	"0.136610802725387"	"0.0639200675269769"	"-0.384924579543859"	"0.734137952258751"	"-7.33980822731155e-09"
"bio12"	"-0.250429735189348"	"0.257228844736783"	"-0.0414764460623151"	"0.199389174850462"	"-0.077757922871916"	"0.0104209716189364"	"-0.0881360944098032"	"-0.0160477462572709"	"0.157075301472694"	"-0.00436644377872344"	"-0.163433310185886"	"-0.631310502589264"	"0.0991445641881057"	"-0.225643245193113"	"0.141577830816479"	"0.533046641380861"	"0.015203058968316"	"-0.0186485529465727"	"6.79548608064784e-10"
"bio13"	"-0.223868643289965"	"0.258395707590937"	"-0.236322552425888"	"0.234797021684139"	"0.064566019851923"	"-0.0161793870978236"	"-0.00916480864806242"	"-0.0941800186440048"	"0.334963115723031"	"-0.464188077763808"	"0.251463360202506"	"0.29496757335634"	"-0.313721271106961"	"0.205194211103547"	"-0.303696606651713"	"0.218690270759955"	"0.0160483274323881"	"0.00110536100743722"	"2.61491394727562e-09"
"bio14"	"-0.264006437319951"	"0.157217838803176"	"0.285933431919165"	"0.179726290714472"	"-0.179206789924177"	"-0.0205141655178026"	"0.157098930015194"	"0.0291062655069314"	"-0.537984652989318"	"-0.149337674725782"	"0.0800745369552884"	"0.329097371052671"	"0.372370059276732"	"-0.283304724900823"	"-0.219636991272023"	"0.198070070286923"	"-0.0211477371736315"	"0.0131862578945681"	"1.44242731926404e-09"
"bio15"	"0.050004058151793"	"0.10904969684891"	"-0.666842839356598"	"-0.0153207381818154"	"0.386337951604414"	"-0.0838619514556983"	"0.326904594299633"	"-0.080836510476491"	"-0.497733506407153"	"-0.0229330354170964"	"-0.074814394393041"	"-0.106567374398362"	"-0.0207357456633765"	"0.0334081507640318"	"0.0545061339607164"	"0.0351845713856089"	"-0.00426588478982163"	"-0.00333958737119774"	"-2.7486593650177e-10"
"bio16"	"-0.224439434776616"	"0.263406590416441"	"-0.230193998372383"	"0.221244729359555"	"0.06528919443456"	"-0.0208833864571956"	"0.000776644582600006"	"-0.0267024198246277"	"0.307702291227688"	"0.00325457910315712"	"0.104438427373205"	"0.0918042811828602"	"0.320043661540912"	"-0.404027101858258"	"0.256578129932332"	"-0.571485018153522"	"-0.0260877359782243"	"0.00961267117347635"	"-4.20299938709904e-10"
"bio17"	"-0.259773065760119"	"0.181719936917243"	"0.260401532338555"	"0.193014901026695"	"-0.19236685433401"	"0.00864876504551628"	"0.0347738016898271"	"-0.0500229282093307"	"-0.340475232358237"	"-0.262788303362714"	"-0.0732015827031653"	"-0.242699469092895"	"-0.399363476539188"	"0.295186280308071"	"0.329369132547673"	"-0.386058804463508"	"-0.00316141818266005"	"-0.0153838582487609"	"-1.19522809920715e-09"
"bio18"	"-0.299485909376207"	"0.0174800809691156"	"0.170200955593365"	"0.228047785062619"	"0.0826039523179879"	"-0.217954547917166"	"0.50624068282275"	"-0.195695583868217"	"0.177722927076917"	"0.599527716030017"	"-0.038472470788295"	"0.0222208769274329"	"-0.0545361176530526"	"0.241250897818102"	"-0.160669510193843"	"-0.00459756293942862"	"-0.0040941681994745"	"0.0101437814972121"	"-2.54116307001422e-09"
