"Continent","Corr_Model","n","Region","Total"
"Asia",0,34,"Eurasia",57
"Asia",1,23,"Eurasia",57
"Europe",0,19,"Eurasia",68
"Europe",1,49,"Eurasia",68
"North America",0,62,"North America",159
"North America",1,97,"North America",159
