"Continent","Corr_Model","n","Region","Total"
"Asia",0,34,"Eurasia",57
"Asia",1,23,"Eurasia",57
"Europe",0,21,"Eurasia",68
"Europe",1,47,"Eurasia",68
"North America",0,66,"North America",161
"North America",1,95,"North America",161
