Sp	Algorithm	Variables	Overall
1	calonectria_pseudonaviculata	GAU	PC1	0.359
2	calonectria_pseudonaviculata	GAU	PC2	0.129
3	calonectria_pseudonaviculata	GAU	PC3	0.199
4	calonectria_pseudonaviculata	GAU	PC4	0.147
5	calonectria_pseudonaviculata	GAU	PC5	0.077
6	calonectria_pseudonaviculata	GAU	PC6	0.089
1	calonectria_pseudonaviculata	GAU	PC1	0.359
2	calonectria_pseudonaviculata	GAU	PC2	0.129
3	calonectria_pseudonaviculata	GAU	PC3	0.199
4	calonectria_pseudonaviculata	GAU	PC4	0.147
5	calonectria_pseudonaviculata	GAU	PC5	0.077
6	calonectria_pseudonaviculata	GAU	PC6	0.089
