"Variables"	"Comp.1"	"Comp.2"	"Comp.3"	"Comp.4"	"Comp.5"	"Comp.6"	"Comp.7"	"Comp.8"	"Comp.9"	"Comp.10"	"Comp.11"	"Comp.12"	"Comp.13"	"Comp.14"	"Comp.15"	"Comp.16"	"Comp.17"	"Comp.18"	"Comp.19"
"bio1"	"0.0197068535272115"	"0.367465655710294"	"0.173073097077517"	"0.158464870503165"	"0.0167165203432525"	"0.0975728209678602"	"0.157915968503493"	"0.166820408605429"	"0.0262746545521081"	"0.0122428379430089"	"0.0662799925392288"	"0.086919328265698"	"0.188148840018974"	"0.172883962205514"	"0.04993609127168"	"0.383653554538263"	"0.719608439118935"	"0.0367661481719033"	"1.74023263962638e-09"
"bio10"	"-0.142753666908087"	"0.310958112288224"	"0.123465063695335"	"0.326154606521693"	"-0.105752192736766"	"0.222242788459369"	"0.172728955045837"	"0.159477349598137"	"0.0698520412354276"	"0.0681875035055942"	"0.192584138844419"	"0.0535845572501191"	"0.207590047237613"	"0.16771328908485"	"0.0208229716123048"	"0.128372917719678"	"-0.526806682492571"	"-0.479910030020696"	"-8.48220969874001e-08"
"bio11"	"0.13751523925599"	"0.34547198568338"	"0.161298463343405"	"-0.0230929239065775"	"0.106422760632982"	"0.018445444911782"	"0.0857284257843699"	"0.110359664241401"	"0.0138300358033203"	"-0.0756906732144291"	"-0.119141495949289"	"-0.0374670540975199"	"-0.0228188915702963"	"-0.0892607065552487"	"0.0800900584479248"	"0.301026741862663"	"-0.421708928095971"	"0.706481843579622"	"1.42896410795868e-07"
"bio12"	"0.344087658839027"	"-0.0458235400026039"	"-0.10640029270543"	"0.203284409248279"	"-0.103793109550941"	"0.0249367954984532"	"-0.046687998414124"	"-0.0116958131199614"	"-0.112960520809816"	"0.17626564093434"	"-0.318193076091031"	"-0.589903656803287"	"0.110651390098044"	"0.371278115150553"	"-0.406641396528515"	"0.0659004294945325"	"-0.0167501942047858"	"0.00350070883723702"	"-3.20949433802131e-09"
"bio13"	"0.313649693353365"	"-0.00246151545603166"	"-0.291122630264636"	"0.276582794791906"	"0.077517643914619"	"-0.00719225524243684"	"-0.0328171147157598"	"0.127440913274276"	"-0.313151171880407"	"-0.466527824833904"	"0.278553688262408"	"0.16989063585344"	"0.180469840423078"	"-0.342831605874505"	"-0.379569255287954"	"0.0249968998585017"	"0.000231845434112663"	"-0.00459072246868776"	"1.98273814548068e-09"
"bio14"	"0.302450785562721"	"-0.127619642846377"	"0.220840152897942"	"0.0896056007430217"	"-0.290248290703853"	"-0.0568314581130388"	"0.175610571864599"	"-0.195215802935216"	"0.464050157727637"	"-0.289368883038572"	"0.188728948969232"	"0.1753177907081"	"-0.443089651595019"	"0.243785714371413"	"-0.228886708561156"	"0.0708444852462436"	"-0.0108603883281503"	"0.017241608489993"	"7.1884417497755e-10"
"bio15"	"-0.0587272254755686"	"0.173028657640409"	"-0.574793268807246"	"0.0865389169549318"	"0.428899669340366"	"-0.101651085152917"	"0.331725819014028"	"-0.218359691130121"	"0.506456134429627"	"0.0196230880059615"	"0.0096426840662079"	"-0.122226960517581"	"0.0546970142278955"	"-0.0262804735172534"	"2.54690702151492e-05"	"-0.0291498835739379"	"0.0166374188418759"	"0.000909828046606206"	"-2.00691882503868e-09"
"bio16"	"0.320121363925022"	"-0.0073370596325307"	"-0.277648172465369"	"0.260836732016308"	"0.0655463371346328"	"0.00802672575056664"	"-0.0242951286460082"	"0.130039467814686"	"-0.256920847308843"	"-0.0950459426031938"	"0.0864076464515087"	"-0.00826090146597675"	"-0.31039077344942"	"0.347285034859353"	"0.646197819216657"	"-0.115587487973188"	"-0.00465841463543481"	"0.00179166971451536"	"5.79426465575506e-09"
"bio17"	"0.312514653511213"	"-0.112086614770567"	"0.207106079268896"	"0.105308527604952"	"-0.286467078283083"	"-0.0337928388023815"	"0.113509169386796"	"-0.192037514424027"	"0.233263488656952"	"-0.154726879452199"	"-0.036066521981616"	"-0.262318096368528"	"0.492257020951901"	"-0.330725107323307"	"0.421503040509768"	"-0.15231812013031"	"0.0391765585560979"	"-0.0161229566992803"	"-1.5481214781234e-09"
"bio18"	"0.231049815518051"	"-0.25222552974748"	"0.107553684295261"	"0.211948509873385"	"0.0710567489106654"	"-0.243941845343674"	"0.526656671453792"	"-0.00752864207793441"	"-0.209815843196017"	"0.55404823264391"	"-0.069742287870633"	"0.288355280628507"	"-0.0515547801955175"	"-0.194929091257199"	"-0.0395459307077552"	"0.0508524317463785"	"-0.0267623016807737"	"0.00121637968440626"	"-1.26539254707092e-09"
"bio19"	"0.299649309406569"	"0.114012012924808"	"-0.236260793061426"	"0.13568232641191"	"-0.167967925305775"	"0.23301169436419"	"-0.529900356608022"	"0.0378840784833929"	"0.326094327058805"	"0.390557411231312"	"-0.168929143023776"	"0.358019702671836"	"-0.0101642057819007"	"-0.194403959378083"	"0.0092418417324934"	"0.0679825354029292"	"0.00672475868519222"	"-0.00303268101431615"	"-6.06322387391162e-09"
"bio2"	"-0.186978063863887"	"0.217649633713751"	"-0.185837740322311"	"0.104713294351271"	"-0.37622274953384"	"-0.639243681774391"	"-0.0278656008917076"	"-0.0175437737709583"	"-0.0501132452018391"	"-0.168864506453656"	"-0.379281743349984"	"0.287202712675745"	"0.165264258453229"	"0.181485535818719"	"0.00578325173423941"	"-0.0387861220890935"	"-0.040845625447902"	"0.0092160761198823"	"8.26398659640929e-09"
