Sp	Algorithm	Variables	IncNodePurity
1	calonectria_pseudonaviculata	RDF	bio15	0.201
2	calonectria_pseudonaviculata	RDF	bio33	0.207
3	calonectria_pseudonaviculata	RDF	bio5	0.177
4	calonectria_pseudonaviculata	RDF	bio6	0.197
5	calonectria_pseudonaviculata	RDF	bio7	0.218
1	calonectria_pseudonaviculata	RDF	bio15	0.201
2	calonectria_pseudonaviculata	RDF	bio33	0.207
3	calonectria_pseudonaviculata	RDF	bio5	0.177
4	calonectria_pseudonaviculata	RDF	bio6	0.197
5	calonectria_pseudonaviculata	RDF	bio7	0.218
1	calonectria_pseudonaviculata	RDF	bio15	0.201
2	calonectria_pseudonaviculata	RDF	bio33	0.207
3	calonectria_pseudonaviculata	RDF	bio5	0.177
4	calonectria_pseudonaviculata	RDF	bio6	0.197
5	calonectria_pseudonaviculata	RDF	bio7	0.218
1	calonectria_pseudonaviculata	RDF	bio15	0.201
2	calonectria_pseudonaviculata	RDF	bio33	0.207
3	calonectria_pseudonaviculata	RDF	bio5	0.177
4	calonectria_pseudonaviculata	RDF	bio6	0.197
5	calonectria_pseudonaviculata	RDF	bio7	0.218
1	calonectria_pseudonaviculata	RDF	bio15	0.201
2	calonectria_pseudonaviculata	RDF	bio33	0.207
3	calonectria_pseudonaviculata	RDF	bio5	0.177
4	calonectria_pseudonaviculata	RDF	bio6	0.197
5	calonectria_pseudonaviculata	RDF	bio7	0.218
1	calonectria_pseudonaviculata	RDF	bio15	0.201
2	calonectria_pseudonaviculata	RDF	bio33	0.207
3	calonectria_pseudonaviculata	RDF	bio5	0.177
4	calonectria_pseudonaviculata	RDF	bio6	0.197
5	calonectria_pseudonaviculata	RDF	bio7	0.218
1	calonectria_pseudonaviculata	RDF	bio15	0.201
2	calonectria_pseudonaviculata	RDF	bio33	0.207
3	calonectria_pseudonaviculata	RDF	bio5	0.177
4	calonectria_pseudonaviculata	RDF	bio6	0.197
5	calonectria_pseudonaviculata	RDF	bio7	0.218
