Sp	Algorithm	Variables	IncNodePurity
1	calonectria_pseudonaviculata	RDF	PC1	0.23
2	calonectria_pseudonaviculata	RDF	PC2	0.164
3	calonectria_pseudonaviculata	RDF	PC3	0.165
4	calonectria_pseudonaviculata	RDF	PC4	0.166
5	calonectria_pseudonaviculata	RDF	PC5	0.136
6	calonectria_pseudonaviculata	RDF	PC6	0.138
1	calonectria_pseudonaviculata	RDF	PC1	0.23
2	calonectria_pseudonaviculata	RDF	PC2	0.164
3	calonectria_pseudonaviculata	RDF	PC3	0.165
4	calonectria_pseudonaviculata	RDF	PC4	0.166
5	calonectria_pseudonaviculata	RDF	PC5	0.136
6	calonectria_pseudonaviculata	RDF	PC6	0.138
