Sp	Algorithm	Variables	Importance
1	calonectria_pseudonaviculata	BRT	bio15	0.185827065395887
2	calonectria_pseudonaviculata	BRT	bio33	0.242178810113962
3	calonectria_pseudonaviculata	BRT	bio5	0.0802951120367961
4	calonectria_pseudonaviculata	BRT	bio6	0.162679909634537
5	calonectria_pseudonaviculata	BRT	bio7	0.329019102818818
1	calonectria_pseudonaviculata	BRT	bio15	0.185827065395887
2	calonectria_pseudonaviculata	BRT	bio33	0.242178810113962
3	calonectria_pseudonaviculata	BRT	bio5	0.0802951120367961
4	calonectria_pseudonaviculata	BRT	bio6	0.162679909634537
5	calonectria_pseudonaviculata	BRT	bio7	0.329019102818818
1	calonectria_pseudonaviculata	BRT	bio15	0.185827065395887
2	calonectria_pseudonaviculata	BRT	bio33	0.242178810113962
3	calonectria_pseudonaviculata	BRT	bio5	0.0802951120367961
4	calonectria_pseudonaviculata	BRT	bio6	0.162679909634537
5	calonectria_pseudonaviculata	BRT	bio7	0.329019102818818
1	calonectria_pseudonaviculata	BRT	bio15	0.185827065395887
2	calonectria_pseudonaviculata	BRT	bio33	0.242178810113962
3	calonectria_pseudonaviculata	BRT	bio5	0.0802951120367961
4	calonectria_pseudonaviculata	BRT	bio6	0.162679909634537
5	calonectria_pseudonaviculata	BRT	bio7	0.329019102818818
1	calonectria_pseudonaviculata	BRT	bio15	0.185827065395887
2	calonectria_pseudonaviculata	BRT	bio33	0.242178810113962
3	calonectria_pseudonaviculata	BRT	bio5	0.0802951120367961
4	calonectria_pseudonaviculata	BRT	bio6	0.162679909634537
5	calonectria_pseudonaviculata	BRT	bio7	0.329019102818818
1	calonectria_pseudonaviculata	BRT	bio15	0.185827065395887
2	calonectria_pseudonaviculata	BRT	bio33	0.242178810113962
3	calonectria_pseudonaviculata	BRT	bio5	0.0802951120367961
4	calonectria_pseudonaviculata	BRT	bio6	0.162679909634537
5	calonectria_pseudonaviculata	BRT	bio7	0.329019102818818
1	calonectria_pseudonaviculata	BRT	bio15	0.185827065395887
2	calonectria_pseudonaviculata	BRT	bio33	0.242178810113962
3	calonectria_pseudonaviculata	BRT	bio5	0.0802951120367961
4	calonectria_pseudonaviculata	BRT	bio6	0.162679909634537
5	calonectria_pseudonaviculata	BRT	bio7	0.329019102818818
