"Continent","Corr_Model","n","Region","Total"
"Asia",0,37,"Eurasia",57
"Asia",1,20,"Eurasia",57
"Europe",0,21,"Eurasia",68
"Europe",1,47,"Eurasia",68
"North America",0,63,"North America",159
"North America",1,96,"North America",159
